datetime,latitude,longitude,temperature,wind_speed,wind_direction
2017-11-07 07:00:00,20.0,97.5,13.128076171875023,13.726041818959947,43.22849407827992
2017-11-07 07:00:00,20.0,98.0,15.928094482421898,11.048007466386052,57.95946209399658
2017-11-07 07:00:00,20.0,98.5,16.128076171875023,10.67524477540551,69.71398089011761
2017-11-07 07:00:00,20.0,99.0,15.828088378906273,10.130219419006067,64.5751244524941
2017-11-07 07:00:00,20.0,99.5,16.028070068359398,24.120322733422682,49.98469513314579
2017-11-07 07:00:00,20.0,100.0,19.028070068359398,30.652381936511663,49.779527187085236
2017-11-07 07:00:00,20.0,100.5,17.428094482421898,24.739195602024594,53.183171907357156
2017-11-07 07:00:00,20.0,101.0,16.028070068359398,20.285123835280665,54.923726732872794
2017-11-07 07:00:00,20.0,101.5,15.928094482421898,23.928716314594844,61.141421880494235
2017-11-07 07:00:00,20.0,102.0,17.028070068359398,29.77770417023199,64.75225064697177
2017-11-07 07:00:00,20.0,102.5,14.728082275390648,23.774243786982815,66.8327488469983
2017-11-07 07:00:00,20.0,103.0,16.128076171875023,23.342906661578972,72.4232063593767
2017-11-07 07:00:00,20.0,103.5,13.228082275390648,13.885332460390359,66.6600149781693
2017-11-07 07:00:00,20.0,104.0,14.928094482421898,16.254508996864427,61.591418690803216
2017-11-07 07:00:00,20.0,104.5,15.828088378906273,15.866315976240928,55.9440183568024
2017-11-07 07:00:00,20.0,105.0,16.628076171875023,15.827988083539724,40.60310163962976
2017-11-07 07:00:00,20.0,105.5,20.728082275390648,24.460745873392288,24.998808990576443
2017-11-07 07:00:00,19.5,97.5,15.628076171875023,11.116982394044863,53.470853547843184
2017-11-07 07:00:00,19.5,98.0,16.828088378906273,11.243927596781857,61.754584496427576
2017-11-07 07:00:00,19.5,98.5,15.828088378906273,13.734827067600612,63.06693759846971
2017-11-07 07:00:00,19.5,99.0,17.528070068359398,22.557103884481712,58.132482417070015
2017-11-07 07:00:00,19.5,99.5,16.428094482421898,27.214655027878806,45.92886338540692
2017-11-07 07:00:00,19.5,100.0,18.928094482421898,27.133596225406183,49.26823001029035
2017-11-07 07:00:00,19.5,100.5,16.528070068359398,19.225526649526913,52.404450120197446
2017-11-07 07:00:00,19.5,101.0,17.428094482421898,21.650376225515497,57.31014828564887
2017-11-07 07:00:00,19.5,101.5,16.028070068359398,25.894990431109882,43.61040531649637
2017-11-07 07:00:00,19.5,102.0,15.828088378906273,20.989653615774284,48.56916045132233
2017-11-07 07:00:00,19.5,102.5,14.628076171875023,19.005118088408125,57.479490114688545
2017-11-07 07:00:00,19.5,103.0,14.028070068359398,23.05336191786074,67.62089657627621
2017-11-07 07:00:00,19.5,103.5,13.728082275390648,19.795887956581925,60.61560140279293
2017-11-07 07:00:00,19.5,104.0,14.428094482421898,12.462734604651654,63.62150622159755
2017-11-07 07:00:00,19.5,104.5,17.328088378906273,14.197333847990711,48.0146129350152
2017-11-07 07:00:00,19.5,105.0,18.828088378906273,31.230868279114798,32.11095476885176
2017-11-07 07:00:00,19.5,105.5,19.428094482421898,28.62254288861674,35.80523455062335
2017-11-07 07:00:00,19.0,97.5,16.528070068359398,14.738614540799864,55.68312106993609
2017-11-07 07:00:00,19.0,98.0,16.728082275390648,17.523037205316527,60.61855853967906
2017-11-07 07:00:00,19.0,98.5,15.428094482421898,14.927986010111654,54.15768591333266
2017-11-07 07:00:00,19.0,99.0,19.128076171875023,20.083471178220318,45.09666550148054
2017-11-07 07:00:00,19.0,99.5,16.328088378906273,23.62856757591271,38.3389628610545
2017-11-07 07:00:00,19.0,100.0,17.528070068359398,23.25467667518062,41.63199073028921
2017-11-07 07:00:00,19.0,100.5,17.028070068359398,17.487799673816596,41.85676922836262
2017-11-07 07:00:00,19.0,101.0,19.028070068359398,13.498680889661603,32.62218404314714
2017-11-07 07:00:00,19.0,101.5,18.928094482421898,17.901250338936624,30.870413034943958
2017-11-07 07:00:00,19.0,102.0,17.728082275390648,12.29283415755987,35.26339914942457
2017-11-07 07:00:00,19.0,102.5,17.828088378906273,8.191527246163963,37.38029545702852
2017-11-07 07:00:00,19.0,103.0,14.828088378906273,12.022649861880746,26.52459117348734
2017-11-07 07:00:00,19.0,103.5,18.428094482421898,7.099840724578407,56.86201074086549
2017-11-07 07:00:00,19.0,104.0,15.828088378906273,20.142839115074715,31.354970481651335
2017-11-07 07:00:00,19.0,104.5,14.528070068359398,22.809377724665232,45.78851329232481
2017-11-07 07:00:00,19.0,105.0,20.328088378906273,30.960459471320043,52.812747531637854
2017-11-07 07:00:00,19.0,105.5,20.228082275390648,28.764095738825887,45.21961150944664
2017-11-07 07:00:00,18.5,97.5,16.228082275390648,23.59258967661376,59.58160438791263
2017-11-07 07:00:00,18.5,98.0,17.128076171875023,19.407439176205926,62.03363514232558
2017-11-07 07:00:00,18.5,98.5,15.228082275390648,11.635789631124487,49.05599140123107
2017-11-07 07:00:00,18.5,99.0,19.328088378906273,25.094371291377485,48.508700016426275
2017-11-07 07:00:00,18.5,99.5,19.728082275390648,20.98758242725455,54.58838399809147
2017-11-07 07:00:00,18.5,100.0,18.128076171875023,22.700525072298873,50.297329406548705
2017-11-07 07:00:00,18.5,100.5,18.028070068359398,19.356831760805775,46.9844088216314
2017-11-07 07:00:00,18.5,101.0,18.228082275390648,16.251416981188896,47.18416205204856
2017-11-07 07:00:00,18.5,101.5,19.528070068359398,14.904062685999968,61.300445331798656
2017-11-07 07:00:00,18.5,102.0,18.228082275390648,13.484767477267852,59.01977106858035
